time,EGT1,CHT1,EGT2,CHT2,EGT3,CHT3,EGT4,CHT4,EGT5,CHT5,EGT6,CHT6
2022-01-03T22:21:21.517011,999,126,1033,123,935,123,866,122,975,131,922,124
2022-01-03T22:21:31.325346,1010,134,1045,130,940,130,875,130,982,137,931,131
2022-01-03T22:21:41.151917,1019,143,1052,139,947,136,882,138,990,145,938,139
2022-01-03T22:21:50.979559,1025,153,1057,148,953,143,888,145,994,153,945,146
2022-01-03T22:22:00.806877,1028,160,1063,154,958,149,891,153,998,159,948,153
2022-01-03T22:22:10.634095,1032,168,1066,162,962,156,896,160,1002,165,953,160
2022-01-03T22:22:20.491981,1034,173,1068,168,964,162,898,165,1008,170,954,165
2022-01-03T22:22:30.289256,1034,181,1069,175,967,168,897,172,1009,176,955,170
2022-01-03T22:22:40.115678,1043,186,1079,180,984,172,915,178,1028,180,974,176
2022-01-03T22:22:49.942441,1055,193,1089,186,1009,178,938,184,1051,185,992,180
2022-01-03T22:22:59.768723,1033,197,1073,193,993,183,922,189,1039,190,972,185
2022-01-03T22:23:09.596312,1033,204,1060,198,1003,189,919,195,1053,195,975,189
2022-01-03T22:23:19.442080,1009,209,1064,203,993,194,911,201,1042,198,969,195
2022-01-03T22:23:29.251588,965,213,1036,209,955,199,865,205,974,202,924,198
2022-01-03T22:23:39.077607,887,217,980,212,899,203,794,209,858,202,866,201
2022-01-03T22:23:48.906001,879,220,983,217,892,206,800,212,890,203,873,204
2022-01-03T22:23:58.732882,945,222,1033,219,980,205,887,214,1003,204,962,206
2022-01-03T22:24:08.559377,1008,224,1076,222,1044,209,953,218,1080,208,1017,210
2022-01-03T22:24:18.416210,1032,226,1089,226,1067,212,979,221,1113,213,1035,212
2022-01-03T22:24:28.212633,1045,229,1098,228,1081,216,993,226,1129,219,1044,218
2022-01-03T22:24:38.039401,1018,234,1068,233,1048,223,964,232,1097,226,1017,221
2022-01-03T22:24:47.865371,976,237,1037,236,1009,229,935,236,1059,230,986,225
2022-01-03T22:24:57.691627,950,242,1018,240,987,233,916,240,1034,234,968,228
2022-01-03T22:25:07.518576,939,243,1018,242,979,236,904,242,1031,235,961,230
2022-01-03T22:25:17.345996,963,246,1059,244,993,237,898,243,1049,236,967,232
2022-01-03T22:25:27.192087,976,247,1077,246,994,239,897,245,1054,239,968,234
2022-01-03T22:25:36.999904,986,249,1072,247,1004,242,922,247,1067,242,984,234
2022-01-03T22:25:46.827481,975,250,1048,249,993,243,916,250,1042,243,972,234
2022-01-03T22:25:56.653263,1009,251,1081,251,1052,244,979,251,1128,245,1049,235
2022-01-03T22:26:06.478034,1143,252,1185,252,1194,241,1109,253,1256,249,1164,237
2022-01-03T22:26:16.303981,1206,255,1234,257,1253,243,1175,258,1308,258,1217,244
2022-01-03T22:26:26.158297,1234,261,1256,262,1276,247,1202,265,1331,273,1236,253
2022-01-03T22:26:35.953305,1242,267,1259,268,1282,252,1211,272,1338,286,1242,261
2022-01-03T22:26:45.778306,1241,274,1257,275,1281,257,1212,280,1337,300,1240,270
2022-01-03T22:26:55.604093,1240,279,1255,279,1276,260,1208,289,1330,310,1233,278
2022-01-03T22:27:05.429808,1225,286,1235,284,1263,265,1193,295,1311,318,1215,284
2022-01-03T22:27:15.255573,1212,291,1219,289,1255,269,1180,302,1297,324,1201,291
